Rank,TV_show,Year,Rating,Link
1,Planet Earth II,2016,9.4,https://www.imdb.com/title/tt5491994/
2,Breaking Bad,2008,9.4,https://www.imdb.com/title/tt0903747/
3,Planet Earth,2006,9.4,https://www.imdb.com/title/tt0795176/
4,Band of Brothers,2001,9.4,https://www.imdb.com/title/tt0185906/
5,Chernobyl,2019,9.3,https://www.imdb.com/title/tt7366338/
6,The Wire,2002,9.3,https://www.imdb.com/title/tt0306414/
7,Blue Planet II,2017,9.2,https://www.imdb.com/title/tt6769208/
8,Avatar: The Last Airbender,2005,9.2,https://www.imdb.com/title/tt0417299/
9,Cosmos: A Spacetime Odyssey,2014,9.2,https://www.imdb.com/title/tt2395695/
10,The Sopranos,1999,9.2,https://www.imdb.com/title/tt0141842/
11,Our Planet,2019,9.2,https://www.imdb.com/title/tt9253866/
12,Cosmos,1980,9.2,https://www.imdb.com/title/tt0081846/
13,Game of Thrones,2011,9.1,https://www.imdb.com/title/tt0944947/
14,Rick and Morty,2013,9.1,https://www.imdb.com/title/tt2861424/
15,The World at War,1973,9.1,https://www.imdb.com/title/tt0071075/
16,Hagane no renkinjutsushi,2009,9.1,https://www.imdb.com/title/tt1355642/
17,The Last Dance,2020,9.0,https://www.imdb.com/title/tt8420184/
18,Life,2009,9.0,https://www.imdb.com/title/tt1533395/
19,Sherlock,2010,9.0,https://www.imdb.com/title/tt1475582/
20,The Twilight Zone,1959,9.0,https://www.imdb.com/title/tt0052520/
21,The Vietnam War,2017,9.0,https://www.imdb.com/title/tt1877514/
22,Batman: The Animated Series,1992,9.0,https://www.imdb.com/title/tt0103359/
23,Scam 1992: The Harshad Mehta Story,2020,9.0,https://www.imdb.com/title/tt12392504/
24,Arcane: League of Legends,2021,8.9,https://www.imdb.com/title/tt11126994/
25,The Blue Planet,2001,8.9,https://www.imdb.com/title/tt0296310/
26,Shingeki no Kyojin,2013,8.9,https://www.imdb.com/title/tt2560140/
27,The Office,2005,8.9,https://www.imdb.com/title/tt0386676/
28,Firefly,2002,8.9,https://www.imdb.com/title/tt0303461/
29,Human Planet,2011,8.9,https://www.imdb.com/title/tt1806234/
30,Frozen Planet,2011,8.9,https://www.imdb.com/title/tt2092588/
31,Death Note: Desu nôto,2006,8.9,https://www.imdb.com/title/tt0877057/
32,Only Fools and Horses....,1981,8.9,https://www.imdb.com/title/tt0081912/
33,Hunter x Hunter,2011,8.9,https://www.imdb.com/title/tt2098220/
34,The Civil War,1990,8.9,https://www.imdb.com/title/tt0098769/
35,True Detective,2014,8.9,https://www.imdb.com/title/tt2356777/
36,The Beatles: Get Back,2021,8.9,https://www.imdb.com/title/tt9735318/
37,Seinfeld,1989,8.9,https://www.imdb.com/title/tt0098904/
38,Sahsiyet,2018,8.9,https://www.imdb.com/title/tt7920978/
39,Dekalog,1989,8.9,https://www.imdb.com/title/tt0092337/
40,Better Call Saul,2015,8.9,https://www.imdb.com/title/tt3032476/
41,Fargo,2014,8.9,https://www.imdb.com/title/tt2802850/
42,Clarkson's Farm,2021,8.9,https://www.imdb.com/title/tt10541088/
43,Kaubôi bibappu,1998,8.9,https://www.imdb.com/title/tt0213338/
44,Nathan for You,2013,8.8,https://www.imdb.com/title/tt2297757/
45,Gravity Falls,2012,8.8,https://www.imdb.com/title/tt1865718/
46,When They See Us,2019,8.8,https://www.imdb.com/title/tt7137906/
47,Friends,1994,8.8,https://www.imdb.com/title/tt0108778/
48,Last Week Tonight with John Oliver,2014,8.8,https://www.imdb.com/title/tt3530232/
49,TVF Pitchers,2015,8.8,https://www.imdb.com/title/tt4742876/
50,Africa,2013,8.8,https://www.imdb.com/title/tt2571774/
51,Apocalypse: La 2ème guerre mondiale,2009,8.8,https://www.imdb.com/title/tt1508238/
52,Monty Python's Flying Circus,1969,8.8,https://www.imdb.com/title/tt0063929/
53,It's Always Sunny in Philadelphia,2005,8.8,https://www.imdb.com/title/tt0472954/
54,Taskmaster,2015,8.8,https://www.imdb.com/title/tt4934214/
55,Das Boot,1985,8.8,https://www.imdb.com/title/tt0081834/
56,Curb Your Enthusiasm,2000,8.8,https://www.imdb.com/title/tt0264235/
57,The West Wing,1999,8.8,https://www.imdb.com/title/tt0200276/
58,Pride and Prejudice,1995,8.8,https://www.imdb.com/title/tt0112130/
59,Fawlty Towers,1975,8.8,https://www.imdb.com/title/tt0072500/
60,Leyla ile Mecnun,2011,8.8,https://www.imdb.com/title/tt1831164/
61,Freaks and Geeks,1999,8.8,https://www.imdb.com/title/tt0193676/
62,Blackadder Goes Forth,1989,8.7,https://www.imdb.com/title/tt0096548/
63,Twin Peaks,1990,8.7,https://www.imdb.com/title/tt0098936/
64,Black Mirror,2011,8.7,https://www.imdb.com/title/tt2085059/
65,Narcos,2015,8.7,https://www.imdb.com/title/tt2707408/
66,BoJack Horseman,2014,8.7,https://www.imdb.com/title/tt3398228/
67,Chappelle's Show,2003,8.7,https://www.imdb.com/title/tt0353049/
68,Dragon Ball Z,1989,8.7,https://www.imdb.com/title/tt0214341/
69,Succession,2018,8.7,https://www.imdb.com/title/tt7660850/
70,Dragon Ball Z: Doragon bôru zetto,1989,8.7,https://www.imdb.com/title/tt0121220/
71,"I, Claudius",1976,8.7,https://www.imdb.com/title/tt0074006/
72,South Park,1997,8.7,https://www.imdb.com/title/tt0121955/
73,Rome,2005,8.7,https://www.imdb.com/title/tt0384766/
74,One Piece: Wan pîsu,1999,8.7,https://www.imdb.com/title/tt0388629/
75,Peaky Blinders,2013,8.7,https://www.imdb.com/title/tt2442560/
76,Ted Lasso,2020,8.7,https://www.imdb.com/title/tt10986410/
77,Kota Factory,2019,8.7,https://www.imdb.com/title/tt9432978/
78,Six Feet Under,2001,8.7,https://www.imdb.com/title/tt0248654/
